exercise_id,exercise_name,description,type,difficulty,equipment
1,Dumbbell Bicep Curl,"A pulling exercise for the biceps. Done by holding two dumbbells to each side with straightened arms and an underhand grip. Keeping elbow tucked to the side, you raise one dumbbell until your forearm is parallel with your body and your palm is facing your shoulder. Once you feel a squeeze, lower and repeat with other arm.",Isolated,Easy,Dumbbell
2,Dumbbell incline curl,"A bicep pulling exercise emphasising stability. Start off by sitting back on a 45-60 degree incline on a bench. With arms hanging straight down, grasp two dumbbells with an underhand grip. Keeping your elbows straight, you raise one dumbbell until your forearm is parallel with your body and your palm is facing your shoulder. Once you feel a squeeze, lower and repeat with other arm.",Isolated,Easy,Dumbbell
3,Lever isolated curl,"Machine-based dumbbell exercise. Start off by sitting and grasping the handles with an underhand grip. With the back of your upper arm remaining on the pad, raise the lever handles until elbows allow. Slowly lower handles until elbow is fully extended and repeat.",Isolated,Easy,Machine
5,Inverted Biceps Row,"A bodyweight exercise emphasising the biceps. Lie on your back under a fixed horizontal barbell. The barbell should be just high enough to allow your arm to fully stretch out. Grasp the bar with a shoulder-width underhand grip. With your body in a straight line from head to ankles, pull yourself to up to the bar. Return until arms are fully extended.",Compound,Hard,Body weight
6,Barbell curl,"A bicep pulling exercise that allows for easier progressive overload. Start off by holding bar with a shoulder width and an underhand grip. With elbows tucked into body, raise the bar until your forearm is parallel with your body. When you feel a squeeze, lower down until your arms are fully extended.",Isolated,Easy,Barbell
7,Cable curl,"A cable-based bicep-focused pulling exercise. Put the cable bar to a low position and grasp and grasp it with a shoulder width and underhand grip. With elbows tucked into body, raise the bar until elbows are parallel to your body. When you feel a squeeze, lower down until your arms are fully extended.",Isolated,Easy,Cable
11,Barbell close grip bench press,"Variant of the bench press that emphasises triceps growth. Lie down on the bench and grab the barbell from the rack with a shoulder width grip, wrapping thumb around bar. Slowly lower down the weight to just below your nipples with elbows kept close to your body. Do not flare out elbows. Push the barbell back up until your arms are fully extended.",Compound,Hard,Barbell
13,Barbell triceps extension,"Tricep exercise emphasising stability. Start off by sitting on an upright bench, grasping a barbell. Position the barbell over your head with a narrow overhand grip. Start by lowering the barbell behind your shoulders through flexing your elbows. The elbows should remain overhead as you’re doing this. Raise the barbell over your head by extending the elbows until your arms are straight again. Can also be done lying.",Isolated,Easy,Barbell
14,Skull crusher,"Classic triceps exercise. Lie down on a bench, holding a barbell over your head with a narrow overhand grip. Make sure the barbell is above your shoulders before you start. Slowly lower it down to your forehead by bending your elbows. Then, bring it back until your arms are fully extended and it is back above your head.",Isolated,Hard,Barbell
16,Cable bent-over triceps extension,"Pulling exercise emphasising the triceps. Start by putting the cable bar into a medium position and grasp it with either a narrow or shoulder width overhand grip. Turn yourself around, facing away from the cable machine and position the bar behind your neck. Step forward with one leg in a lunging position. Pull back the bar with your elbows. You should extend your forearms until your elbows are straightened. Bring the cable bar to just over the neck.",Isolated,Medium,Cable
17,Cable pushdown,"Triceps exercise emphasising pushing. Start off by placing cable high up and grasping your chosen attachment with a narrow overhand grip. Straight bars or ropes both work for this. Your elbows should be tucked in. Extend your arms fully down, and bring back slowly until your forearms are close to your upper arm.",Isolated,Easy,Cable
18,Cable one arm pushdown,Triceps exercise emphasising individual arm growth. Grab your choice of cable attachment with an underhand grip. Tuck in your elbow and fully extend your arm down. Bring it back slowly until your forearm is close to your upper arm.,Isolated,Medium,Cable
20,Dumbbell kickback,"Dumbbell based triceps exercise suitable for beginners. Kneel over a bench with one arm supporting your body. Grab a dumbbell and position your upper arm to be parallel to the floor. Extend your arm until it is straight, then slowly bring back to the starting position. Once done, switch to your opposite arm",Isolated,Easy,Dumbbell
21,Dumbbell lying extension,"Triceps exercise using dumbbells. Lie down on a bench, holding two dumbbells. Position them over your head with extended arms. Lower the dumbbells by bending your elbows until both are to the sides of your head. Bring back to starting position by extending your arms.",Isolated,Medium,Dumbbell
23,Dumbbell triceps extension,"Triceps exercise with dumbbells. Grab the bottom of a dumbbell and hold it with both hands over your head, in a heart shaped grip. Lower it down behind your head by flexing your elbows. Avoid hitting the back of your neck, raise it back to starting position by extending your elbows.",Isolated,Easy,Dumbbell
26,Smith close grip bench press,"Smith machine variant of the barbell close grip bench press, still emphasising triceps. Like down on a bench and grasp the bar with a narrow grip. Rotate bar back to begin the exercise. Lower the bar down to your chest with elbows close to your body.",Compound,Medium,Smith machine
27,Weighted triceps dip,More difficult variation of the triceps dip. Place the weights on your dip belt and equip it. Get on the dip bar with a shoulder width with straightened arms and shoulders directly above hands. Lower yourself until you feel a slight stretch in your shoulders. Go back to starting position by pushing up until arms are straight again.,Compound,Hard,Weights
28,Close grip push-up,"Variant of the push-up emphasising the triceps. Your entire body must be straight. Lie down with your forefeet on the floor and your hands in a narrower-than-shoulder grip. Push yourself off the floor by extending hands and keeping body straight until arms are fully extended. Then, lower yourself down by bending your arms.",Compound,Hard,Body weight
29,Triceps dip,Bodyweight triceps exercise. Get on the dip bar with a shoulder width with straightened arms and shoulders directly above hands. Lower yourself until you feel a slight stretch in your shoulders. Go back to starting position by pushing up until arms are straight again.,Compound,Hard,Body weight
31,Barbell front raise,"Barbell exercise for the front delts. Grab a barbell with an overhand grip with elbows straight. Raise it forward and upward until your upper arms are no longer parallel with the floor. After, lower down. You can slightly bend your elbows if straight elbows feels uncomfortable.",Isolated,Medium,Barbell
32,Barbell military press,"Classic shoulder exercise. Take barbell from the rack with an overhand grip that is slightly wider than shoulder width, positioning it just in front of your neck. Press the bar up until your arms are extended over your head. Lower to starting position. Feet should be shoulder width.",Compound,Hard,Barbell
35,Cable standing shoulder press,"Cable variation of the shoulder press. Position two cable pulleys in a low position and grasp handle extensions from both sides. Bring them up to your shoulders and above your elbows with your elbows tucked into your sides. Push upwards until arms are extended, then slowly return to starting position.",Compound,Medium,Cable
36,Dumbbell arnold press,"A more movement heavy front delt exercise. Grab two dumbbells and position them in front of your shoulders, with your palms facing you and your elbows under your wrists. Start the movement by bringing your elbows out to the sides, then keep raising them outward as you press the dumbbells over your head until your arms are straight.",Compound,Medium,Dumbbell
